,uuid,id,sex,weight,predicted_weight,difference,area,width,height,MA,ma,eccentricity,perimeter,per_area,symmetry
1092,63624d260f534dd5b926bc0c1a4e8a45,TA5751,1,26.8,26.8,0.0,0.6698302927274171,0.7106227106227107,0.36024844720496896,0.6438581525745118,0.5921549959080823,0.9342342747365724,0.6957373684063775,0.7400451060577672,0.2773820644558617
1097,50cb443a2da04b2aad9047189a3b230c,CG1741,0,27.2,26.8,0.3999999999999986,0.7060888805403327,0.8113553113553112,0.3695652173913043,0.8364336438906258,0.5044307890192987,0.9592439802207651,0.8249692478787274,0.7090885271485571,0.2274598892517393
1098,b9588f3b160443b7aa0c93cc9ef0e327,TA433,0,17.7,16.8,0.8999999999999986,0.5334826149686722,0.49633699633699624,0.9316770186335404,0.5979933611655316,0.35730350922035414,0.9555212431210078,0.7610382747168336,0.17807354481568316,0.30136686181672123
1102,eb70b7b7872241a994cebff43cea604f,TA0432,0,14.3,20.4,6.099999999999998,0.12514346203280807,0.1355311355311355,0.16149068322981364,0.12020624040708627,0.2311778595414692,0.8965714540690094,0.11691062158022691,0.8458721107289603,0.5070127207492661
1114,717cd86dd99048c6b87865f97629ed12,TA0438,1,13.9,26.8,12.9,0.5010228830233112,0.5842490842490843,0.47515527950310554,0.5142682899159751,0.6509095658760615,0.9066353024654592,0.6286716001056305,0.5752177380006239,0.19933584335676766
1119,1775b74146be4ea0977f272b94367a22,TA5751,1,26.8,16.0,10.8,0.8618637590649427,0.6153846153846153,0.5124223602484472,0.588108042183778,0.7244271487725831,0.9084665347557916,0.772495067089271,0.7345332587387049,0.2883373064254909
1120,5faa306357b24baab2a4cb7856f4c43d,TA332,1,20.4,22.3,1.9000000000000021,0.4682277554751451,0.23076923076923073,0.4409937888198757,0.23968278338765037,0.30283274904261914,0.9131334377441809,0.21919596429778643,0.5543104415268715,0.47741736809690005
1121,71b86d88e6f940bb806257695fd145b9,TA0477,1,16.1,13.5,2.6000000000000014,0.45192539524584113,0.5384615384615384,0.5372670807453416,0.45814246230280065,0.7797856322564074,0.8694872124580013,0.6264772026107714,0.5644916936996954,0.1993795516050252
1132,6efa001dfdbe426686d506a16e04a606,CG1741,0,27.2,18.9,8.3,0.5801818783447283,0.6117216117216117,0.7173913043478259,0.6570427384158221,0.19618986541802308,0.9730966408043988,0.6773514142791961,0.1487091505755982,0.22135927584667214
1134,a42b99175aa54bd2b242abdb2a2bbd6a,TA977,0,16.8,14.3,2.5,0.46120395059616387,0.5164835164835165,0.29503105590062106,0.46016120193970367,0.39110230281019287,0.9371787251060252,0.6830364498927111,0.6469431475282396,0.2237183964240816
